__run_id,__done,function_name,version,cpu_time,memory_usage,avg_cpu_time,avg_memory_usage,total_cpu_time,total_memory_usage,total_energy
run_13_repetition_17,DONE,Can I Win,memoized,0.001813;0.054456;0.049940,6.41;142.80;289.01,0.035403,146.07,0.108917,438.22,0.762336
run_14_repetition_17,DONE,K-equal Sum Partitions,normal,0.001326;0.028793;0.115342,10.26;143.49;291.90,0.048487,148.55,0.148375,445.65,0.192989
run_15_repetition_17,DONE,K-equal Sum Partitions,memoized,0.001261;0.026539;0.179157,10.08;159.39;332.10,0.068986,167.19,0.209618,501.57,0.256738
run_16_repetition_17,DONE,All Possible Full Binary Trees,normal,0.001998;0.730203;2.433907,17.25;19781.12;65674.71,1.055369,28491.03,3.169788,85473.08,32.094127
run_17_repetition_17,DONE,All Possible Full Binary Trees,memoized,0.001312;0.079720;0.207102,5.23;3709.71;9214.40,0.096045,4309.78,0.290968,12929.34,0.798942
run_0_repetition_18,DONE,Fibonacci,normal,0.000789;0.616918;4.002575,3.66;8.51;2.38,1.540094,4.85,4.623544,14.55,43.708170
run_1_repetition_18,DONE,Fibonacci,memoized,0.000667;0.000586;0.000405,4.02;10.20;3.99,0.000553,6.07,0.005302,18.20,0.000000
run_2_repetition_18,DONE,Knapsack,normal,0.000511;1.606447;9.539994,1.92;13.62;1.77,3.715651,5.77,11.149816,17.32,115.061250
run_3_repetition_18,DONE,Knapsack,memoized,0.000796;0.019020;0.021484,2.82;293.32;272.48,0.013767,189.54,0.044694,568.62,0.182122
run_4_repetition_18,DONE,Coin Change,normal,0.002518;0.101848;5.801285,6.12;5.35;4.64,1.968550,5.37,5.909378,16.11,52.385368
run_5_repetition_18,DONE,Coin Change,memoized,0.001169;0.000906;0.000993,6.55;5.68;5.31,0.001023,5.85,0.007125,17.54,0.000000
run_6_repetition_18,DONE,Levenshtein Distance,normal,0.009625;1.439763;7.838127,6.75;4.09;2.46,3.095838,4.43,9.290437,13.30,81.809832
run_7_repetition_18,DONE,Levenshtein Distance,memoized,0.001327;0.001275;0.000992,9.70;10.81;7.00,0.001198,9.17,0.007385,27.52,0.000000
run_8_repetition_18,DONE,Factorial,normal,0.002397;0.495563;1.732341,41.23;2120.77;3814.47,0.743433,1992.16,2.232826,5976.47,18.839583
run_9_repetition_18,DONE,Factorial,memoized,0.002762;0.630034;0.405435,52.83;16975.85;41979.58,0.346077,19669.42,1.042659,59008.26,8.639939
